ledger_type,fiscal_year,description,account_descr,revenue_category,actual_amount,program_descr,fund_type,fund_descr
Revenue,2016,Other Revenue,Federal Aid  Restricted,Non General Fund Revenue,484047,State Energy Program,Special Revenue,Special Revenue
Revenue,2017,Other Source,Misc-Transfers In,Transfers In,158365.49,Non-Budgeted Operating Approp,Special Revenue,Special Revenue
Revenue,2016,Other Revenue,Licenses-Home Imp Contr/Sales,Licenses Permits and Fees,1089930,Non-Budgeted Operating Approp,Fiduciary,Other Trust Funds
Revenue,2017,Other Revenue,Srvcs-Resident State Police,Miscellaneous,13374442.92,Revenue Deposits,General,General
Revenue,2017,Other Revenue,Grant Transfer Fed Grant-Restr,Non General Fund Revenue,55332,CDC - DPH Grant,Special Revenue,Special Revenue
Revenue,2017,Other Revenue,Licenses-Private Det/Bondsmen,Licenses Permits and Fees,834840.77,Revenue Deposits,General,General
Revenue,2017,Other Revenue,Federal Aid  Restricted,Non General Fund Revenue,8502164.15,CSBG,Special Revenue,Special Revenue
Revenue,2016,Other Revenue,Grant Transfer Fed Grant-Restr,Non General Fund Revenue,112724,CT School Emergency Management,Special Revenue,Special Revenue
Revenue,2016,Other Revenue,Exp Recovered-Insurance Co,Miscellaneous,41242443,Revenue Deposits,Other Budgeted,Special Revenue
Revenue,2016,Other Revenue,Non-Federal Aid  Restricted,Non General Fund Revenue,1456945,Fire Sch Train & Ed Extension,Special Revenue,Special Revenue
Revenue,2017,Other Revenue,Non-Federal Aid  Restricted,Non General Fund Revenue,264266.56,Billeting & Quarters Fund,Special Revenue,Special Revenue
Revenue,2017,Other Source,Operating Transfers Out,Transfers Out,-100,Pharmaceutical Co-Educ Grants,Special Revenue,Special Revenue
Revenue,2017,Other Revenue,Other Rents - Miscellaneous,Rents Fines and Escheats,127093.41,Non-Budgeted Operating Approp,Enterprise,Enterprise
Revenue,2017,Other Revenue,Non-Federal Aid  Restricted,Non General Fund Revenue,585.25,Pistol Permits-Eligblty Certif,Special Revenue,Special Revenue
Revenue,2016,Other Revenue,Federal Aid  Restricted,Non General Fund Revenue,18917,Dengue Virus Research,Special Revenue,Special Revenue
Revenue,2017,Other Revenue,Federal Aid  Restricted,Non General Fund Revenue,262181.33,Commodity Supplemtl Food Prog,Special Revenue,Special Revenue
Revenue,2017,Other Revenue,Federal Aid  Restricted,Non General Fund Revenue,22081781.95,HUD Continuum of Care Catchmnt,Special Revenue,Special Revenue
Revenue,2016,Other Revenue,Non-Federal Aid  Restricted,Non General Fund Revenue,7992,Connecticut Creative Store,Special Revenue,Special Revenue
Revenue,2016,Other Revenue,Private Donations,Miscellaneous,1424,Donations-Other,Special Revenue,Special Revenue
Revenue,2017,Other Revenue,Rest. Aid not Grant Transfer,Non General Fund Revenue,49000,Adverse Childhood Experiences,Special Revenue,Special Revenue
Revenue,2017,Other Revenue,Federal Aid  Restricted,Non General Fund Revenue,5850421.1,State Assessments,Special Revenue,Special Revenue
Revenue,2016,Other Revenue,RF-Office Support - Postage,Sales of Commodities and Services,16,Non-Budgeted Operating Approp,Internal Service,Internal Service
Revenue,2017,Other Revenue,Non-Federal Aid  Restricted,Non General Fund Revenue,5810,Sleeping Giant MU-MRI,Special Revenue,Special Revenue
Revenue,2017,Other Source,Dependent Children,Federal Grants,296583247.19,Revenue Deposits,General,General
Revenue,2016,Other Revenue,Federal Aid  Restricted,Non General Fund Revenue,3909950,CT SafeSchools/HealthyStudProj,Special Revenue,Special Revenue
Revenue,2017,Other Revenue,Permits-To Hold Games/Chance,Licenses Permits and Fees,24155,Revenue Deposits,General,General
Revenue,2017,Other Revenue,Rest. Aid not Grant Transfer,Non General Fund Revenue,-1690223.58,Nuclear Safety Emergency,Special Revenue,Special Revenue
Revenue,2016,Other Revenue,Maps and Bulletins,Licenses Permits and Fees,1233,Revenue Deposits,Transportation,Special Revenue
Revenue,2016,Other Revenue,Non-Federal Aid  Restricted,Non General Fund Revenue,4502907,CAPI GO BONDS 2015 G,Special Revenue,Special Revenue
Revenue,2016,Other Revenue,Photocopying,Sales of Commodities and Services,16062,Revenue Deposits,Other Budgeted,Special Revenue
Revenue,2017,Other Revenue,Grant Transfer Fed Grant-Restr,Non General Fund Revenue,146624.79,Safety Belt Convincer Simulato,Special Revenue,Special Revenue
Revenue,2017,Other Revenue,Other Refunds,Refunds of Payments,-132556.29,Probate Court Administration,Special Revenue,Special Revenue
Revenue,2016,Other Revenue,Investment Interest,Investment Income,831,Pre Trial Account,Special Revenue,Special Revenue
Revenue,2017,Taxes,Income Tax Refunds,Refunds of Taxes,-1028929092.68,Refunds Of Taxes,General,General
Revenue,2017,Other Revenue,Federal Aid  Restricted,Non General Fund Revenue,555008.18,Health Info Counseling Grant,Special Revenue,Special Revenue
Revenue,2017,Other Revenue,Rest. Aid not Grant Transfer,Non General Fund Revenue,24292708.07,Non-Budgeted Operating Approp,Special Revenue,Special Revenue
Revenue,2016,Other Revenue,Federal Aid  Restricted,Non General Fund Revenue,231386,ROSS FSS Program,Special Revenue,Special Revenue
Revenue,2017,Other Source,Operating Transfers Out,Transfers Out,-1125000,Non-Budgeted Operating Approp,Internal Service,Internal Service
Revenue,2017,Other Revenue,Federal Aid  Restricted,Non General Fund Revenue,3789373.09,Infant & Toddlers-Disabilities,Special Revenue,Special Revenue
Revenue,2016,Other Revenue,Sundry Airport Activities,Sales of Commodities and Services,20075759,Non-Budgeted Operating Approp,Enterprise,Enterprise
Revenue,2016,Other Revenue,Federal Aid  Restricted,Non General Fund Revenue,87053,Integrated Comm Sys for CSHCN,Special Revenue,Special Revenue
Revenue,2016,Other Revenue,Other Refunds,Refunds of Payments,-115764,Revenue Deposits,General,General
Revenue,2017,Other Revenue,Federal Aid  Restricted,Non General Fund Revenue,3574098.08,SNAP Nutr Ed & Obesity @ 100%,Special Revenue,Special Revenue
Revenue,2016,Other Revenue,Federal Aid  Restricted,Non General Fund Revenue,2939071,Hazard Mitigation,Special Revenue,Special Revenue
Revenue,2017,Other Revenue,Federal Aid  Restricted,Non General Fund Revenue,829999.52,HIV Aids Survl & Seroprevalnce,Special Revenue,Special Revenue
Revenue,2016,Other Revenue,Non-Federal Aid  Restricted,Non General Fund Revenue,88935,Envir Conservation Ed Prg,Special Revenue,Special Revenue
Revenue,2016,Other Revenue,Investment Interest,Investment Income,1,Stripper Well Overcharge,Special Revenue,Special Revenue
Revenue,2016,Other Revenue,Non-Federal Aid  Restricted,Non General Fund Revenue,557943,COI GO BONDS UCONN 2016 A,Special Revenue,Special Revenue
Revenue,2016,Other Revenue,Other Fees-Miscellaneous,Licenses Permits and Fees,7703231,Community Investment Account,Special Revenue,Special Revenue
Revenue,2017,Other Source,Child Nutrition Program,Federal Grants,959430.7,Revenue Deposits,General,General
Revenue,2016,Other Revenue,Inter/Intrastate Carrier Lic,Licenses Permits and Fees,3488956,Revenue Deposits,Transportation,Special Revenue
Revenue,2016,Taxes,Business Use Tax,Sales and Use,18,Regional Performance Incentive,Special Revenue,Special Revenue
Revenue,2017,Other Revenue,Federal Aid  Restricted,Non General Fund Revenue,369344.11,State Grants for Assistive Tec,Special Revenue,Special Revenue
Revenue,2016,Other Revenue,Federal Aid  Restricted,Non General Fund Revenue,125562574,Individuals/Disabilities IDEA,Special Revenue,Special Revenue
Revenue,2017,Other Revenue,RF-Gain on Car Pool Sales,Sales of Commodities and Services,1576564.85,Non-Budgeted Operating Approp,Internal Service,Internal Service
Revenue,2017,Other Revenue,Youth Camp Licenses,Licenses Permits and Fees,254124.8,Revenue Deposits,General,General
Revenue,2017,Other Revenue,Federal Aid  Restricted,Non General Fund Revenue,146290.61,Client Assistance-Handicapped,Special Revenue,Special Revenue
Revenue,2017,Other Revenue,Federal Aid  Restricted,Non General Fund Revenue,615326,DOT-FTA New Freedom Initiative,Special Revenue,Special Revenue
Revenue,2016,Other Revenue,Fines and Costs-Courts,Rents Fines and Escheats,7734,Revenue Deposits,General,General
Revenue,2017,Other Revenue,Private Donations,Miscellaneous,1290.84,Donations-Other,Special Revenue,Special Revenue
Revenue,2016,Other Revenue,Federal Aid  Restricted,Non General Fund Revenue,3218257,SNAP Nutr Ed & Obesity @ 100%,Special Revenue,Special Revenue
Revenue,2016,Other Revenue,Investment Interest,Investment Income,7177,Brd For St Acad Awrd Op Fund,Special Revenue,Special Revenue
Revenue,2017,Other Revenue,Real Estate Brokers Licenses,Licenses Permits and Fees,2094340.59,Revenue Deposits,General,General
Revenue,2016,Other Revenue,Federal Aid  Restricted,Non General Fund Revenue,367469,EMERGING INFECTIONS PPHF,Special Revenue,Special Revenue
Revenue,2017,Other Revenue,Non-Federal Aid  Restricted,Non General Fund Revenue,392320.87,CT Milk Promotion Bd-Priv Fndg,Special Revenue,Special Revenue
Revenue,2017,Other Revenue,Reports  Statutes  Registers,Sales of Commodities and Services,315551.37,Revenue Deposits,General,General
Revenue,2016,Other Revenue,Federal Aid  Restricted,Non General Fund Revenue,4626,SCIP - Data Sharing Prog FFY14,Special Revenue,Special Revenue
Revenue,2017,Other Revenue,Federal Aid  Restricted,Non General Fund Revenue,54219.07,SSBG Special Services for Pers,Special Revenue,Special Revenue
Revenue,2017,Other Revenue,Out-Patient & Day Care Clinic,Sales of Commodities and Services,16791.72,Revenue Deposits,General,General
Revenue,2016,Other Revenue,Federal Aid  Restricted,Non General Fund Revenue,54371,Integrating Colorectal Cancer,Special Revenue,Special Revenue
Revenue,2017,Other Revenue,Prof Srvc Ren License/Class E,Licenses Permits and Fees,82390,Revenue Deposits,General,General
Revenue,2016,Other Revenue,Federal Aid  Restricted,Non General Fund Revenue,807633,RPOM - ATS Utilities,Special Revenue,Special Revenue
Revenue,2017,Other Revenue,Plumber Licenses,Licenses Permits and Fees,1131735,Revenue Deposits,General,General
Revenue,2016,Other Revenue,Rest. Aid not Grant Transfer,Non General Fund Revenue,447500,Ct Vaccine for Children,Special Revenue,Special Revenue
Revenue,2016,Other Revenue,Federal Aid  Restricted,Non General Fund Revenue,45449,Asbestos TSCA/OCM Prog Grant,Special Revenue,Special Revenue
Revenue,2016,Other Revenue,Non-Federal Aid  Restricted,Non General Fund Revenue,18628895,CT Lott Corp Payrl & Tele Acct,Special Revenue,Special Revenue
Revenue,2017,Other Revenue,Federal Aid  Restricted,Non General Fund Revenue,1863.92,CTRNG Telecommunications,Special Revenue,Special Revenue
Revenue,2017,Other Revenue,Tribal Payments from Keno,Transfers - Special Revenue,1752159.39,Revenue Deposits,General,General
Revenue,2017,Other Revenue,Other Fees-Certificate/Copies,Licenses Permits and Fees,1843991.05,Revenue Deposits,General,General
Revenue,2016,Other Revenue,Federal Aid  Restricted,Non General Fund Revenue,215955,NCCCP & Prog Management (MLC),Special Revenue,Special Revenue
Revenue,2016,Other Revenue,Federal Aid  Restricted,Non General Fund Revenue,953653,Environmental Compliance,Special Revenue,Special Revenue
Revenue,2016,Other Revenue,Pension Fund Contributions,Non General Fund Revenue,2618709541,Non-Budgeted Operating Approp,Fiduciary,Pension (& Other) Trust
Revenue,2017,Other Revenue,Rest. Aid not Grant Transfer,Non General Fund Revenue,26000,Pesticide & PCB Analysis,Special Revenue,Special Revenue
Revenue,2016,Other Source,Operating Transfers Out,Transfers Out,-4330187,Non-Budgeted Operating Approp,Fiduciary,Other Trust Funds
Revenue,2017,Taxes,Intermediate Care Facility Fee,Miscellaneous,6865401.83,Revenue Deposits,General,General
Revenue,2017,Other Revenue,Federal Aid  Restricted,Non General Fund Revenue,356118.42,Promoting Adolescent Health,Special Revenue,Special Revenue
Revenue,2016,Other Revenue,Federal Aid  Restricted,Non General Fund Revenue,181210,Wetlands Protection,Special Revenue,Special Revenue
Revenue,2017,Other Revenue,Non-Federal Aid  Restricted,Non General Fund Revenue,122012.75,Background Checks,Special Revenue,Special Revenue
Revenue,2016,Other Revenue,Producer Licenses,Licenses Permits and Fees,9502031,Revenue Deposits,General,General
Revenue,2017,Other Revenue,Federal Aid  Restricted,Non General Fund Revenue,4274443,SSBG Home Based Services,Special Revenue,Special Revenue
Revenue,2016,Other Revenue,Federal Aid  Restricted,Non General Fund Revenue,74655,EAGER:Carbon Loss in Trees,Special Revenue,Special Revenue
Revenue,2016,Other Revenue,Federal Aid  Restricted,Non General Fund Revenue,-3378,Captive colony Rsr for Cerceri,Special Revenue,Special Revenue
Revenue,2017,Other Revenue,Non-Federal Aid  Restricted,Non General Fund Revenue,31644,Hist. Structures Law PA 06-186,Special Revenue,Special Revenue
Revenue,2017,Other Revenue,Med Marijuana Dispnsry License,Licenses Permits and Fees,59300,Revenue Deposits,General,General
Revenue,2017,Other Revenue,Fines and Costs-Departments,Rents Fines and Escheats,3451424.74,Revenue Deposits,General,General
Revenue,2016,Other Revenue,Fines & Penalties-Bad Checks,Rents Fines and Escheats,2443,Revenue Deposits,General,General
Revenue,2016,Other Revenue,Federal Aid  Restricted,Non General Fund Revenue,247130,Second Chance Prisoner Reentry,Special Revenue,Special Revenue
Revenue,2017,Other Revenue,Refunds - Educational Fees,Licenses Permits and Fees,-23837825.87,Non-Budgeted Operating Approp,Special Revenue,Special Revenue
Revenue,2016,Other Revenue,Rest. Aid not Grant Transfer,Non General Fund Revenue,1765974,Nuclear Safety Program,Special Revenue,Special Revenue
Revenue,2016,Other Revenue,Federal Aid  Restricted,Non General Fund Revenue,37684,Forest Pests Outreach Project,Special Revenue,Special Revenue
Revenue,2016,Other Revenue,Federal Aid  Restricted,Non General Fund Revenue,11085132,ARRA HIT Incentive Payments,Special Revenue,Special Revenue
Revenue,2016,Other Revenue,Federal Aid  Restricted,Non General Fund Revenue,7842,Food Safety Protection Capacit,Special Revenue,Special Revenue
Revenue,2016,Other Revenue,Federal Aid  Restricted,Non General Fund Revenue,1089994,MCSAP Basic Grant   MC-05-09-1,Special Revenue,Special Revenue
Revenue,2016,Other Revenue,Housing Loan Interest Income,Investment Income,1859987,Non-Budgeted Operating Approp,Enterprise,Enterprise
Revenue,2017,Other Revenue,Federal Aid  Restricted,Non General Fund Revenue,272598.59,CT EIP Capacities ACA Grant,Special Revenue,Special Revenue
Revenue,2016,Other Revenue,Non-Federal Aid  Restricted,Non General Fund Revenue,361584,Quality of Life Enhancement Fu,Special Revenue,Special Revenue
Revenue,2016,Other Revenue,Federal Aid  Restricted,Non General Fund Revenue,21996,SCA Reentry Planning,Special Revenue,Special Revenue
Revenue,2017,Other Revenue,Federal Aid  Restricted,Non General Fund Revenue,6931.92,OSHA Consultation,Special Revenue,Special Revenue
Revenue,2016,Taxes,Intermediate Care Facility Fee,Miscellaneous,8350476,Revenue Deposits,General,General
Revenue,2017,Other Revenue,Prof Srvc Ren License/Class D,Licenses Permits and Fees,81825,Revenue Deposits,General,General
Revenue,2017,Other Revenue,Recoveries-Attorney Fees,Miscellaneous,134969.59,Revenue Deposits,General,General
Revenue,2016,Other Revenue,Rest. Aid not Grant Transfer,Non General Fund Revenue,21823,Organ Transplants,Special Revenue,Special Revenue
Revenue,2016,Other Revenue,Federal Aid  Restricted,Non General Fund Revenue,204360,Independent Living Part A,Special Revenue,Special Revenue
Revenue,2016,Other Revenue,Refunds of Escheated Property,Refunds of Payments,-57572275,Revenue Deposits,General,General
Revenue,2017,Other Revenue,Non-Federal Aid  Restricted,Non General Fund Revenue,29580.35,Monitoring Of Emissions,Special Revenue,Special Revenue
Revenue,2017,Other Revenue,Federal Aid  Restricted,Non General Fund Revenue,1517936.94,CT PFS II,Special Revenue,Special Revenue
Revenue,2017,Other Revenue,Non-Federal Aid  Restricted,Non General Fund Revenue,9026.53,Partnership for Long-Term Care,Special Revenue,Special Revenue
Revenue,2016,Other Revenue,Facilities Licensure,Licenses Permits and Fees,870488,Revenue Deposits,General,General
Revenue,2017,Other Revenue,Investment Interest,Investment Income,297877.56,Conversion Value,Enterprise,Enterprise
Revenue,2016,Other Revenue,Federal Aid  Restricted,Non General Fund Revenue,4300,National Death Index Statistic,Special Revenue,Special Revenue
Revenue,2017,Other Revenue,Federal Aid  Restricted,Non General Fund Revenue,39711901.15,FRA High-Speed Intercity Pass,Special Revenue,Special Revenue
Revenue,2016,Other Revenue,Fees-Exam FBO Repr Office,Licenses Permits and Fees,1509378,Revenue Deposits,Other Budgeted,Special Revenue
